11.92,12.06,10.16,6.71,8.21,10.01,14.18,12.85,29.33,11.8
11.85,12.28,10.16,6.7,8.3,9.96,14.38,12.95,29.16,11.8
11.75,12.13,10.26,6.68,8.18,9.99,14.42,13.06,28.62,11.8
11.7,11.99,10.17,6.77,8.23,10.25,14.06,13.07,28.37,11.8
11.64,12.06,10.17,6.83,8.02,10.19,13.95,13.29,28.52,11.5
11.9,12.15,10.23,6.8,8.28,10.35,13.35,13.31,28.8,11.79
12.02,12.22,10.18,6.69,8.48,10.08,13.74,13.08,28.9,11.78
11.51,11.86,9.98,6.75,8.19,10.08,13.6,13,28.85,11.75
11.63,11.9,10.01,6.68,8.22,9.82,13.8,12.97,28.05,10.4
11.2,11.56,9.78,6.75,8.05,9.88,13.88,12.99,27.86,9.75
11.19,11.52,9.93,6.68,7.95,9.84,13.71,12.74,28.3,10.24
11.27,11.59,9.94,6.79,7.82,10,13.7,12.92,28.15,10.45
11.37,11.74,10.08,6.92,7.93,10,13.86,12.94,28.17,10.97
11.37,11.97,10.09,6.97,8.18,10.04,13.88,9.72,28.15,11.52
11.45,12.04,10.11,6.99,8.2,10.15,13.83,9.68,28.79,12.1
11.6,12.09,10.09,6.9,8.44,10.15,13.84,9.98,28.52,12.71
11.51,11.89,9.94,6.84,8.37,9.97,13.71,9.9,28.3,13.2
11.51,11.86,10,6.81,8.28,9.98,13.5,9.85,28.1,13.1
11.44,11.93,9.89,6.75,8.41,9.92,13.22,9.74,28.14,12.9
11.31,12.02,9.88,6.78,8.37,9.95,13.23,9.8,28.14,13.47
11.32,11.91,9.85,6.73,8.4,9.9,13.35,9.81,28,14.14
11.15,11.81,9.95,6.65,8.27,9.73,14.08,9.71,27.35,18.01
10.98,11.71,9.87,6.65,8.08,9.6,14.21,9.7,27.41,17.11
10.98,11.7,9.78,6.64,8.2,9.75,14.53,9.75,27.18,16.73
11.17,11.8,9.9,6.68,8.4,9.8,14.8,9.79,27.3,16.51
10.98,11.65,9.72,6.65,8.43,9.69,14.5,9.72,26.7,16.79
